,open_jobs,tot_employees,YYYYMM
WBD.MI,18.0,2147.0,202203
TITR.MI,8.0,22128.0,202203
AZM.MI,2.0,108.0,202203
LDO.MI,379.0,24867.0,202203
G.MI,304.0,48761.0,202203
ENI.MI,125.0,26936.0,202203
MT.MI,39.0,6310.0,202203
PST.MI,4.0,27167.0,202203
TRN.MI,4.0,2593.0,202203
BMED.MI,37.0,6143.0,202203
SRG.MI,67.0,2351.0,202203
UNI.MI,8.0,9818.0,202203
FCT.MI,32.0,4446.0,202203
CRES.MI,4.0,190.0,202203
IG.MI,11.0,1424.0,202203
IRE.MI,6.0,2188.0,202203
UCG.MI,373.0,48683.0,202203
ENEL.MI,235.0,27201.0,202203
STLA.MI,1220.0,99609.0,202203
SPM.MI,40.0,22692.0,202203
A2A.MI,51.0,3011.0,202203
BGN.MI,2.0,2585.0,202203
